weight,threshold,fp_exact,fn_exact,recall_exact,acc_exact,fp_binned,fn_binned,recall_binned,acc_binned,fp_total,fn_total,eligible
0.55,0.5,32,21,0.8662420382165605,0.9544282029234737,47,20,0.8726114649681529,0.942390369733448,79,41,True
0.55,0.51,32,21,0.8662420382165605,0.9544282029234737,47,20,0.8726114649681529,0.942390369733448,79,41,True
0.55,0.52,32,21,0.8662420382165605,0.9544282029234737,47,20,0.8726114649681529,0.942390369733448,79,41,True
0.55,0.53,32,21,0.8662420382165605,0.9544282029234737,46,20,0.8726114649681529,0.943250214961307,78,41,True
0.55,0.54,32,21,0.8662420382165605,0.9544282029234737,45,20,0.8726114649681529,0.944110060189166,77,41,True
0.55,0.55,32,21,0.8662420382165605,0.9544282029234737,45,21,0.8662420382165605,0.943250214961307,77,42,True
0.55,0.56,9,31,0.802547770700637,0.9656061908856406,24,35,0.7770700636942676,0.9492691315563199,33,66,False
0.55,0.57,8,31,0.802547770700637,0.9664660361134996,24,35,0.7770700636942676,0.9492691315563199,32,66,False
0.55,0.58,8,31,0.802547770700637,0.9664660361134996,24,35,0.7770700636942676,0.9492691315563199,32,66,False
0.55,0.59,8,32,0.7961783439490446,0.9656061908856406,23,36,0.7707006369426752,0.9492691315563199,31,68,False
0.55,0.6,8,33,0.7898089171974523,0.9647463456577816,22,37,0.7643312101910829,0.9492691315563199,30,70,False
0.55,0.61,8,33,0.7898089171974523,0.9647463456577816,18,37,0.7643312101910829,0.9527085124677558,26,70,False
0.55,0.62,8,35,0.7770700636942676,0.9630266552020637,15,39,0.7515923566878981,0.9535683576956148,23,74,False
0.55,0.63,8,36,0.7707006369426752,0.9621668099742047,13,41,0.7388535031847133,0.9535683576956148,21,77,False
0.55,0.64,8,36,0.7707006369426752,0.9621668099742047,13,41,0.7388535031847133,0.9535683576956148,21,77,False
0.55,0.65,8,36,0.7707006369426752,0.9621668099742047,11,41,0.7388535031847133,0.9552880481513327,19,77,False
0.55,0.66,8,36,0.7707006369426752,0.9621668099742047,11,41,0.7388535031847133,0.9552880481513327,19,77,False
0.55,0.67,7,36,0.7707006369426752,0.9630266552020637,10,41,0.7388535031847133,0.9561478933791917,17,77,False
0.55,0.68,5,36,0.7707006369426752,0.9647463456577816,7,41,0.7388535031847133,0.9587274290627688,12,77,False
0.55,0.69,5,36,0.7707006369426752,0.9647463456577816,7,42,0.732484076433121,0.9578675838349097,12,78,False
0.55,0.7,4,38,0.7579617834394905,0.9638865004299226,6,42,0.732484076433121,0.9587274290627688,10,80,False
0.55,0.71,3,38,0.7579617834394905,0.9647463456577816,5,43,0.7261146496815286,0.9587274290627688,8,81,False
0.55,0.72,3,38,0.7579617834394905,0.9647463456577816,5,43,0.7261146496815286,0.9587274290627688,8,81,False
0.55,0.73,3,38,0.7579617834394905,0.9647463456577816,5,43,0.7261146496815286,0.9587274290627688,8,81,False
0.55,0.74,3,38,0.7579617834394905,0.9647463456577816,5,43,0.7261146496815286,0.9587274290627688,8,81,False
0.55,0.75,3,39,0.7515923566878981,0.9638865004299226,5,44,0.7197452229299363,0.9578675838349097,8,83,False
