scenario,glucose_mode,optional_mode,n_samples,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
base_no_glu,none,none,5874,0.24999999999999994,0.7219387755102041,0.28296703296703296,0.6094674556213018,0.38649155722326456,0.6974257123214422,746,261,66,103
base_glu_binned,binned,none,5874,0.22999999999999995,0.8673469387755102,0.5243445692883895,0.8284023668639053,0.6422018348623854,0.8891810580375243,880,127,29,140
base_glu_exact,exact,none,5874,0.22999999999999995,0.8818027210884354,0.55859375,0.8461538461538461,0.6729411764705883,0.8995493086853564,894,113,26,143
opt1_no_glu,none,f1,5874,0.16999999999999998,0.7287414965986394,0.29838709677419356,0.6568047337278107,0.41035120147874304,0.7210884753471263,746,261,58,111
opt1_glu_binned,binned,f1,5874,0.22999999999999995,0.8690476190476191,0.5283018867924528,0.8284023668639053,0.6451612903225806,0.8875445843591899,882,125,29,140
opt1_glu_exact,exact,f1,5874,0.20999999999999996,0.8801020408163265,0.5551181102362205,0.834319526627219,0.6666666666666666,0.8983094668680185,894,113,28,141
opt2_no_glu,none,f2,5874,0.18999999999999997,0.7134353741496599,0.2801047120418848,0.6331360946745562,0.38838475499092556,0.6954513670578144,732,275,62,107
opt2_glu_binned,binned,f2,5874,0.24999999999999994,0.8741496598639455,0.5399239543726235,0.8402366863905325,0.6574074074074074,0.8901035943660647,886,121,27,142
opt2_glu_exact,exact,f2,5874,0.2899999999999999,0.8920068027210885,0.5867768595041323,0.8402366863905325,0.6909975669099757,0.9041619903280588,907,100,27,142
opt12_no_glu,none,f12,5874,0.16999999999999998,0.7244897959183674,0.28169014084507044,0.591715976331361,0.3816793893129771,0.6851565667546111,752,255,69,100
opt12_glu_binned,binned,f12,5874,0.15,0.8647959183673469,0.5182481751824818,0.8402366863905325,0.6410835214446953,0.8872948531874512,875,132,27,142
opt12_glu_exact,exact,f12,5874,0.15,0.8664965986394558,0.5218978102189781,0.8461538461538461,0.6455981941309256,0.8964937743487893,876,131,26,143
